0.000,0.317,0.000,1.469,0.178,0.000,0.360,1.790
0.782,0.483,0.000,0.450,0.142,0.000,0.600,1.120
0.235,0.058,0.000,1.012,0.000,0.000,0.464,1.152
1.153,0.293,0.000,0.207,0.044,0.000,0.734,0.755
0.230,0.434,0.000,2.932,0.000,0.000,0.000,0.000
1.024,0.768,0.072,0.418,0.245,0.000,0.551,0.584
0.276,0.636,0.000,0.760,0.234,0.000,0.450,1.502
0.416,0.000,0.000,0.854,0.000,0.000,0.495,0.942
1.450,2.065,0.411,1.517,1.137,0.000,0.744,0.184
0.730,2.016,0.502,2.103,1.304,0.000,0.460,0.817
0.757,0.000,0.000,1.771,0.000,0.000,0.000,0.000
0.285,0.070,0.000,0.972,0.000,0.000,0.471,1.136
0.151,0.105,0.000,1.085,0.021,0.000,0.449,1.262
0.877,0.000,0.000,0.517,0.000,0.000,0.536,0.341
1.035,1.913,0.535,1.754,1.211,0.000,0.577,0.427
0.583,0.479,0.000,0.611,0.157,0.000,0.559,1.306
0.833,0.397,0.000,0.453,0.099,0.000,0.643,1.075
0.000,0.793,0.000,3.642,0.000,0.000,0.000,0.000
1.068,1.716,0.398,1.410,1.018,0.000,0.555,0.374
0.858,0.000,0.000,0.908,0.000,0.000,0.393,0.131
1.011,0.541,0.029,0.299,0.136,0.000,0.593,0.756
1.513,0.974,0.248,0.331,0.342,0.000,0.761,0.214
0.224,2.661,1.115,3.603,2.004,0.000,0.357,1.510
0.814,0.000,0.000,1.060,0.000,0.000,0.357,0.130
0.000,4.441,0.000,10.794,0.366,0.000,0.000,0.000
0.636,0.763,0.000,0.609,0.250,0.000,0.435,0.969
0.000,3.430,1.715,5.033,2.743,0.000,0.521,2.327
0.582,2.467,0.799,2.925,1.729,0.000,0.439,1.077
1.773,0.759,0.341,0.103,0.220,0.000,0.900,0.113
0.100,0.353,0.000,1.116,0.156,0.000,0.426,1.551
1.138,1.921,0.540,1.686,1.216,0.000,0.607,0.321
0.320,0.000,0.000,1.045,0.000,0.000,0.443,0.921
3.259,2.990,0.196,1.206,1.197,0.000,1.648,0.000
3.487,3.644,0.069,1.601,1.464,0.000,1.762,0.000
0.862,2.212,0.641,2.305,1.476,0.000,0.533,0.695
0.000,4.851,2.739,7.210,3.973,0.000,1.970,5.116
1.627,1.775,0.087,0.850,0.733,0.000,0.795,0.223
1.023,0.148,0.000,0.372,0.000,0.000,0.664,0.723
0.930,0.516,0.000,0.345,0.146,0.000,0.601,0.900
0.091,0.413,0.000,2.743,0.000,0.000,0.000,0.211
0.523,0.067,0.000,0.780,0.000,0.000,0.515,0.983
0.341,0.365,0.000,0.906,0.142,0.000,0.491,1.410
0.000,0.443,0.000,1.496,0.259,0.000,0.317,1.934
1.597,0.624,0.281,0.072,0.160,0.000,0.803,0.204
0.000,0.159,0.000,1.374,0.074,0.000,0.392,1.539
0.511,2.282,0.692,2.699,1.573,0.000,0.394,1.107
1.144,0.481,0.046,0.212,0.118,0.000,0.659,0.683
1.305,0.435,0.098,0.107,0.096,0.000,0.714,0.541
0.720,0.376,0.000,0.580,0.115,0.000,0.613,1.160
0.716,0.711,0.000,0.541,0.220,0.000,0.467,0.925
0.962,1.889,0.506,1.774,1.194,0.000,0.549,0.513
0.000,0.119,0.000,1.337,0.031,0.000,0.397,1.429
1.232,0.000,0.000,0.220,0.000,0.000,0.634,0.328
0.657,0.405,0.000,0.620,0.133,0.000,0.594,1.227
1.015,0.000,0.000,1.045,0.000,0.000,0.289,0.000
0.413,0.000,0.000,0.857,0.000,0.000,0.494,0.943
0.159,0.350,0.000,1.065,0.148,0.000,0.437,1.504
0.934,1.949,0.532,1.885,1.251,0.000,0.544,0.555
2.093,1.039,0.371,0.204,0.312,0.000,1.072,0.000
1.072,0.732,0.088,0.375,0.224,0.000,0.572,0.560
0.777,1.895,0.455,1.903,1.201,0.000,0.472,0.740
0.571,0.515,0.000,0.594,0.173,0.000,0.551,1.317
1.344,1.563,0.133,0.844,0.695,0.000,0.662,0.291
1.128,0.429,0.000,0.218,0.125,0.000,0.699,0.771
1.070,0.884,0.113,0.447,0.333,0.000,0.559,0.478
0.000,0.309,0.000,1.216,0.146,0.000,0.409,1.588
0.000,1.843,0.000,5.827,0.000,0.000,0.000,0.000
0.604,0.513,0.000,0.567,0.167,0.000,0.558,1.287
0.464,2.738,1.087,3.502,2.028,0.000,0.452,1.290
0.768,2.003,0.507,2.062,1.294,0.000,0.475,0.768
0.609,2.045,0.492,2.223,1.331,0.000,0.413,0.970
0.559,2.462,0.808,2.942,1.731,0.000,0.431,1.098
1.175,0.565,0.094,0.231,0.142,0.000,0.633,0.576
1.140,0.731,0.120,0.341,0.224,0.000,0.598,0.499
1.084,0.027,0.000,0.333,0.000,0.000,0.635,0.540
1.069,0.306,0.000,0.282,0.050,0.000,0.708,0.829
1.447,2.040,0.372,1.468,1.095,0.000,0.741,0.204
0.711,2.412,0.717,2.711,1.652,0.000,0.479,0.920
0.473,0.523,0.000,0.672,0.189,0.000,0.527,1.403
0.379,0.322,0.000,0.886,0.115,0.000,0.498,1.341
