0.10089,-0.00574,1.87918
0.18790,-0.08762,3.25062
0.09252,0.06493,0.08272
0.13455,0.03198,0.27755
0.23671,-0.10425,3.56278
0.29902,-0.11685,1.80241
0.58094,-0.11991,0.61575
0.29047,-0.14416,2.70145
0.20337,-0.10084,3.55557
0.09582,-0.01949,5.17912
0.14052,-0.04638,3.87094
0.25163,-0.00463,0.26271
0.29365,-0.13318,3.50517
0.18443,-0.04689,1.45927
0.83377,-0.21057,0.99022
0.06197,0.01979,1.14359
0.00247,0.06120,0.89819
0.23315,-0.11797,3.20218
1.19107,-0.33089,1.19292
2.08253,-0.63729,2.00412
0.11471,0.02875,0.38648
1.38071,-0.40438,1.54698
0.11958,0.03125,0.33415
0.14869,0.01554,0.45023
0.54803,-0.10679,0.49889
0.06912,-0.01159,3.28280
0.18931,-0.09614,4.50015
0.16608,-0.06440,3.93691
0.41485,-0.21437,3.72417
1.79723,-0.54098,1.83843
0.21922,-0.08135,1.91755
0.21028,-0.09072,2.15691
0.04961,0.02996,1.11672
0.20625,-0.07612,1.87174
0.23235,-0.10818,4.07394
0.30131,-0.01998,0.30030
-0.01587,0.01210,6.50746
0.22697,-0.10232,4.56929
0.14838,-0.08178,5.07893
0.07513,0.01151,1.78569
-0.04184,0.02625,5.68440
0.39029,-0.19728,3.73892
0.24261,-0.10023,4.42363
0.95651,-0.25127,0.98844
0.27984,-0.11470,2.21968
0.34927,-0.17444,3.59604
0.80960,-0.19934,0.83704
0.15155,-0.03693,1.97454
1.73970,-0.52358,1.87094
0.40029,-0.19283,3.76129
0.50298,-0.09097,0.45473
0.16833,0.03462,0.34818
1.51840,-0.44848,1.58517
1.27097,-0.35783,1.31460
0.04453,0.03531,1.01976
1.66761,-0.49828,1.74246
0.20312,-0.08106,4.94392
0.41969,-0.21000,2.81775
0.09626,0.03524,0.41687
0.47048,-0.07906,0.58869
0.64140,-0.14261,0.66790
0.17079,0.03293,0.36420
0.41899,-0.21304,3.63070
0.27256,-0.11894,2.06121
0.25609,0.00167,0.44580
0.45376,-0.23052,4.17121
0.04308,-0.02504,6.53678
0.01918,0.00732,6.09477
-0.07523,0.03781,6.37698
1.36166,-0.39192,1.39582
0.19233,-0.08182,2.49313
0.29411,-0.01912,0.30654
1.14746,-0.31770,1.21904
0.20579,-0.07365,1.86038
0.40337,-0.19293,4.12510
0.06608,0.01873,1.11943
0.28374,-0.14380,3.25353
-0.26306,0.13279,7.60753
0.58340,-0.12337,0.76706
0.27339,-0.13220,2.39925
1.05024,-0.28425,1.16265
0.28929,-0.12750,4.02128
0.15417,-0.04059,2.00105
0.15301,-0.04492,1.69466
0.22555,-0.10620,3.09583
0.24518,-0.12303,3.02996
0.22110,-0.08536,2.57163
0.35340,-0.16566,4.54620
0.34985,-0.17898,3.16020
0.23840,-0.10802,3.57901
0.55842,-0.11304,0.68522
0.24816,-0.10157,2.62042
0.17992,-0.06356,1.82623
0.18108,-0.09579,5.05565
0.14910,-0.04215,2.02850
0.17974,-0.08238,3.97617
0.24764,-0.12513,2.70613
0.31698,-0.16388,5.17232
0.14144,0.01517,0.50289
1.63461,-0.48651,1.73134
