1.30511,1.12100
2.11233,2.03942
-2.80894,-3.59089
-1.55042,-1.67807
2.26031,2.27397
1.57924,1.49330
1.02147,0.94373
2.07252,2.00045
2.22565,2.21482
2.74161,2.74238
2.17068,2.22032
-0.33691,-0.74917
2.42827,2.36445
1.11900,0.99035
1.67329,1.58375
0.50071,0.38386
0.01142,-0.21252
2.18135,2.11689
1.66541,1.87831
2.89527,2.59154
-1.26583,-1.19904
2.76820,2.24547
-1.25674,-1.44382
-0.44720,-0.78882
0.94748,0.76953
1.79861,1.81770
2.59022,2.62269
2.22628,2.30225
2.78683,2.73048
2.54035,2.48590
1.64053,1.43382
1.62539,1.57322
0.27592,0.31820
1.53629,1.37286
2.45381,2.50328
0.10956,-0.34098
3.18099,3.17142
2.58663,2.71478
2.73186,2.82098
1.13939,0.99718
2.49414,2.74061
2.70459,2.68262
2.79454,2.67133
1.71564,1.65644
1.84697,1.73128
2.72230,2.53171
1.22441,1.45843
1.42479,1.30773
2.94150,2.54832
2.82829,2.70454
0.77711,0.61434
-0.75271,-1.17374
2.56131,2.26405
1.71346,2.00377
0.36679,0.18722
2.59900,2.41065
2.83663,2.83727
2.54407,2.31362
-0.63378,-1.19429
0.64184,0.64991
1.41004,1.12044
-1.03641,-1.10091
2.73718,2.69273
1.86832,1.64800
-0.16437,-0.35734
3.05288,3.01032
3.50273,3.30005
2.85700,3.03464
2.92549,3.00430
2.03735,2.08125
1.73169,1.69526
-0.02364,-0.36162
1.97384,1.90757
1.58719,1.36142
3.11172,2.87504
0.40773,0.36837
2.32389,2.24403
3.11463,3.22659
1.34589,1.07347
1.96554,1.82131
1.77429,1.84440
2.72322,2.58717
1.41235,1.33498
1.21795,1.12024
2.13842,2.04563
1.99391,2.06219
1.93157,1.77964
2.97383,2.96252
2.36580,2.33676
2.24491,2.28750
0.94874,0.94543
1.99176,1.85885
1.38624,1.28075
2.84922,2.86867
1.35206,1.34708
2.29790,2.35443
1.93773,1.91921
3.15598,3.18817
-0.23808,-0.66958
2.52428,2.40908
